ID,Title,Question,Link
1,Python,How to create a classs in Python ?,/home/shriniwas/BE/BEProj/UI/a.html
2,Java,What is use of virtual function in java ?,/home/shriniwas/BE/BEProj/UI/a.html
3,Cpp,What is diamond problem in c++ ?,/home/shriniwas/BE/BEProj/UI/a.html
4,Python,Unable to read int input directly in python ?,/home/shriniwas/BE/BEProj/UI/a.html
5,Python,What is python tkinter ?,/home/shriniwas/BE/BEProj/UI/a.html
6,Native Js,How to operate on Native JS ,/home/shriniwas/BE/BEProj/UI/a.html
7,React JS,Unable to create event in react JS,/home/shriniwas/BE/BEProj/UI/a.html
8,C,In c what is the Use of flush(stdin) ,/home/shriniwas/BE/BEProj/UI/a.html
9,JavaScript,Unable to implement listner,/home/shriniwas/BE/BEProj/UI/a.html
10,Java,What is Serializable in java,/home/shriniwas/BE/BEProj/UI/a.html
